index,Keyword,Values
13,experience,564
16,graduate,490
35,year,473
0,1,381
9,degree,313
3,business,289
33,team,287
4,communication,250
34,working,249
14,good,240
2,bachelor,233
28,related,229
21,marketing,196
8,data,184
20,management,181
23,office,174
30,skills,170
19,knowledge,165
31,strong,153
29,sales,146
32,support,146
5,computer,145
7,customer,134
6,content,122
10,design,116
12,english,108
26,project,108
22,media,107
17,information,106
24,people,105
27,quality,103
1,accounting,103
11,engineering,102
15,gpa,101
18,interpersonal,101
25,possess,100
