name,value
Bali,-28.4
Yogyakarta,-12.16
"Sulawesi Selatan",-12.16
"Nusa Tenggara Barat",-44.23
"Sulawesi Tengah",-27.61
"Papua Barat",-0.31
"Jawa Timur",-16.34
Lampung,-12.55
Riau,-21.6
"Sumatera Barat",-24.95
"Sumatera Selatan",-17.72
"Kalimantan Tengah",-15.24
Papua,-6.88
"Nusa Tenggara Timur",-11.62
"Sulawesi Barat",-26.34
"Jawa Barat",-17.51
"Jawa Tengah",-11.72
"Sumatera Utara",-24.6
Jambi,-20.67
"Bangka Belitung",-30.76
"Kalimantan Barat",-17.81
"Nangro Aceh Darussalam",-20.6
"Kalimantan Timur",-19.68
Banten,-23.42
"Kalimantan Selatan",-30.09
"DKI Jakarta",-18.57
"Kepulauan Riau",-21.68
"Sulawesi Utara",-2.62
"Sulawesi Tenggara",-30.37
Bengkulu,-18.27
Maluku,-10.33
Gorontalo,-24.81
"Maluku Utara",-8.02
