name,value
Bali,6.33
Yogyakarta,10.83
"Sulawesi Selatan",9.46
"Nusa Tenggara Barat",2.57
"Sulawesi Tengah",0.7
"Papua Barat",6.25
"Jawa Timur",6.92
Lampung,5.21
Riau,6.35
"Sumatera Barat",5.09
"Sumatera Selatan",8.1
"Kalimantan Tengah",1.2
Papua,3.26
"Nusa Tenggara Timur",1.24
"Sulawesi Barat",1.99
"Jawa Barat",7.06
"Jawa Tengah",9.73
"Sumatera Utara",7.32
Jambi,4.3
"Bangka Belitung",4.37
"Kalimantan Barat",1.37
"Nangro Aceh Darussalam",1.9
"Kalimantan Timur",0.95
Banten,7.28
"Kalimantan Selatan",5.77
"DKI Jakarta",8.34
"Kepulauan Riau",3.76
"Sulawesi Utara",5.28
"Sulawesi Tenggara",0.78
Bengkulu,0.81
Maluku,0
Gorontalo,0
"Maluku Utara",0
