name,value
Riau,-34.13
"Sumatera Barat",-37.7
"DKI Jakarta",-19.43
"Kepulauan Riau",-38.24
"Sulawesi Utara",-31.61
"Kalimantan Barat",-33.32
Gorontalo,-51.4
"Sulawesi Barat",-55.15
"Maluku Utara",-53.14
"Nangro Aceh Darussalam",-50.53
"Kalimantan Timur",-40.29
"Sumatera Selatan",-29.8
Papua,-65.03
"Kalimantan Tengah",-49.2
Lampung,-28.67
"Nusa Tenggara Timur",-63.02
Maluku,-58.48
Bengkulu,-45.65
"Sulawesi Tenggara",-61.6
Banten,-17.78
"Kalimantan Selatan",-27.13
Yogyakarta,-14.02
Bali,-22.67
"Sulawesi Selatan",-26.89
"Sulawesi Tengah",-57.44
"Nusa Tenggara Barat",-30.27
"Papua Barat",-62.66
"Jawa Timur",-23.76
"Jawa Tengah",-16.07
"Sumatera Utara",-29.8
"Jawa Barat",-18.63
Jambi,-40.59
"Bangka Belitung",-30.79
