name,value
Riau,8.91
"Sumatera Barat",7.74
"DKI Jakarta",9.42
"Kepulauan Riau",5.17
"Sulawesi Utara",6.3
"Kalimantan Barat",1.87
Gorontalo,0.43
"Sulawesi Barat",1.15
"Maluku Utara",5.8
"Nangro Aceh Darussalam",2.64
"Kalimantan Timur",3.23
"Sumatera Selatan",9.23
Papua,4.29
"Kalimantan Tengah",1.21
Lampung,7.09
"Nusa Tenggara Timur",2.28
Maluku,4.69
Bengkulu,0.99
"Sulawesi Tenggara",1.76
Banten,7.96
"Kalimantan Selatan",5.96
Yogyakarta,13.42
Bali,8.77
"Sulawesi Selatan",12.03
"Sulawesi Tengah",1.55
"Nusa Tenggara Barat",5.03
"Papua Barat",4.96
"Jawa Timur",9.32
"Jawa Tengah",11.64
"Sumatera Utara",10.28
"Jawa Barat",8.08
Jambi,6.28
"Bangka Belitung",7.44
