name,value
"Sumatera Selatan",-26.77
"Kalimantan Tengah",-44.07
Papua,-44.34
"Kalimantan Barat",-29.55
Gorontalo,-48.73
Yogyakarta,-13.64
Bali,-21.66
"Sulawesi Tenggara",-56.78
Bengkulu,-36.72
Banten,-16.55
"Kalimantan Selatan",-23.94
"Maluku Utara",-48.47
"Sulawesi Barat",-52.17
Riau,-29.2
"Sumatera Barat",-32.93
Lampung,-24.7
"Kalimantan Timur",-38.83
"Nangro Aceh Darussalam",-44.22
"DKI Jakarta",-16.22
"Kepulauan Riau",-30.78
"Sulawesi Utara",-27.65
"Nusa Tenggara Timur",-57.06
Maluku,-50.47
Jambi,-30.25
"Sumatera Utara",-24.65
"Jawa Barat",-18.38
"Jawa Tengah",-15.35
"Bangka Belitung",-23.61
"Jawa Timur",-23.23
"Sulawesi Selatan",-22.9
"Sulawesi Tengah",-53.79
"Nusa Tenggara Barat",-35.23
"Papua Barat",-58.84
