name,value
Riau,-22.5
"Sumatera Barat",-25.01
"Kalimantan Barat",-16.08
"Sumatera Utara",-26.67
"Jawa Tengah",-14.42
"Jawa Barat",-18.61
Jambi,-23.08
"Bangka Belitung",-31.83
"Kalimantan Selatan",-27.44
Banten,-23.34
"Sumatera Selatan",-19.48
"Kalimantan Tengah",-14.22
Papua,-6.52
"Nangro Aceh Darussalam",-20.08
"Kalimantan Timur",-18.49
Lampung,-12.96
Yogyakarta,-16.03
Bali,-29.82
"Jawa Timur",-18.14
"Sulawesi Selatan",-12
"Nusa Tenggara Barat",-40.69
"Sulawesi Tengah",-28.16
"Sulawesi Barat",-29.76
"Sulawesi Tenggara",-31.55
Bengkulu,-17.98
"DKI Jakarta",-19.42
"Sulawesi Utara",-2.96
"Kepulauan Riau",-21.29
"Nusa Tenggara Timur",-7.44
Maluku,-7.04
"Maluku Utara",-7.3
Gorontalo,-22.51
"Papua Barat",-9.49
