name,value
"Sulawesi Tenggara",1.43
Bengkulu,-21.71
Banten,-6.95
"Kalimantan Selatan",-3.32
"Sulawesi Barat",-9.52
"Maluku Utara",-0.85
"Kalimantan Barat",-19.87
Gorontalo,-21.01
Lampung,-6.91
Riau,-6.53
"Sumatera Barat",-6.37
Maluku,-0.72
"Sulawesi Selatan",0.52
"Nusa Tenggara Barat",-2.14
"Papua Barat",-2.13
"Sulawesi Tengah",-0.16
"Jawa Timur",1.24
"Jawa Tengah",-1.66
"Jawa Barat",-8.73
"Sumatera Utara",-0.18
Jambi,-7.83
"Bangka Belitung",1.42
Bali,0.17
Yogyakarta,-2.08
"Kalimantan Timur",-9.48
"Nangro Aceh Darussalam",-16.71
"Sumatera Selatan",-3.65
"Kalimantan Tengah",-9.76
Papua,2.44
"Nusa Tenggara Timur",-0.07
"DKI Jakarta",-1.62
"Kepulauan Riau",-8.88
"Sulawesi Utara",-21.66
