name,value
"Sulawesi Tenggara",3.16
Bengkulu,1.35
Banten,9.76
"Kalimantan Selatan",6.53
"Sulawesi Barat",2.27
"Maluku Utara",4.48
"Kalimantan Barat",2.61
Gorontalo,0.79
Lampung,8.52
Riau,9.49
"Sumatera Barat",8.08
Maluku,4.59
"Sulawesi Selatan",14.25
"Nusa Tenggara Barat",4.84
"Papua Barat",6.99
"Sulawesi Tengah",1.84
"Jawa Timur",11.08
"Jawa Tengah",13.75
"Jawa Barat",9.35
"Sumatera Utara",10.56
Jambi,8.71
"Bangka Belitung",7.88
Bali,10.17
Yogyakarta,15
"Kalimantan Timur",3.39
"Nangro Aceh Darussalam",3.34
"Sumatera Selatan",10.6
"Kalimantan Tengah",2.04
Papua,8.24
"Nusa Tenggara Timur",3.17
"DKI Jakarta",12.04
"Kepulauan Riau",6.72
"Sulawesi Utara",7.13
