name,value
"Sulawesi Barat",-21.34
"Sumatera Selatan",-16.27
"Kalimantan Tengah",-15.35
Papua,-6.66
"Kalimantan Selatan",-31.02
Banten,-21.85
"Jawa Timur",-14.45
"Nusa Tenggara Barat",-49.12
"Sulawesi Selatan",-7.55
"Sulawesi Tengah",-25.62
"Papua Barat",-10.86
"Sumatera Barat",-20.9
Riau,-18.38
"Kalimantan Timur",-19.09
"Nangro Aceh Darussalam",-21.77
Lampung,-12.97
"Jawa Barat",-16.95
"Jawa Tengah",-9.5
"Sumatera Utara",-22.45
"Bangka Belitung",-28.56
Jambi,-17.18
"Nusa Tenggara Timur",-12.67
"DKI Jakarta",-16.58
"Kepulauan Riau",-20.8
"Sulawesi Utara",-2.63
"Sulawesi Tenggara",-24.09
Bengkulu,-16.91
Maluku,-2.43
Yogyakarta,-9.26
Bali,-26.39
"Kalimantan Barat",-16.48
Gorontalo,-23.87
"Maluku Utara",-9.84
