name,value
"Maluku Utara",-2.72
"Sulawesi Barat",-12.71
"Kalimantan Barat",-27.88
Gorontalo,-18.33
"Kalimantan Timur",-12.71
"Nangro Aceh Darussalam",-16.78
"Sulawesi Utara",-26.18
"DKI Jakarta",-5.34
"Kepulauan Riau",-10.95
"Jawa Timur",-2.37
"Sulawesi Selatan",-4.53
"Nusa Tenggara Barat",-0.35
"Sulawesi Tengah",-0.21
"Papua Barat",-1.48
"Jawa Tengah",-6.7
"Sumatera Utara",-1.94
"Jawa Barat",-13.98
"Bangka Belitung",-1.75
Jambi,-11.8
Yogyakarta,-9.14
Bali,-3.48
Maluku,-3.24
Bengkulu,-25.37
"Sulawesi Tenggara",-0.26
Banten,-11.15
"Kalimantan Selatan",-5.35
"Nusa Tenggara Timur",-1.15
"Sumatera Selatan",-10.45
"Kalimantan Tengah",-9.88
Papua,-1.12
Riau,-11.96
"Sumatera Barat",-9.57
Lampung,-11.08
