name,value
"Maluku Utara",5.84
"Sulawesi Barat",1.9
"Kalimantan Barat",1.77
Gorontalo,0.84
"Kalimantan Timur",1.69
"Nangro Aceh Darussalam",2.32
"Sulawesi Utara",5.77
"DKI Jakarta",9.68
"Kepulauan Riau",5.42
"Jawa Timur",8.93
"Sulawesi Selatan",11.19
"Nusa Tenggara Barat",3.43
"Sulawesi Tengah",1.69
"Papua Barat",4.75
"Jawa Tengah",11.53
"Sumatera Utara",9.23
"Jawa Barat",7.9
"Bangka Belitung",5.99
Jambi,6.66
Yogyakarta,12.69
Bali,8.45
Maluku,3.89
Bengkulu,1.31
"Sulawesi Tenggara",1.99
Banten,7.97
"Kalimantan Selatan",6.19
"Nusa Tenggara Timur",1.99
"Sumatera Selatan",8.92
"Kalimantan Tengah",1.07
Papua,5.12
Riau,7.98
"Sumatera Barat",6.87
Lampung,6.98
