name,value
"Kalimantan Barat",-18.13
Riau,-22.66
"Sumatera Barat",-25.82
Banten,-23.86
"Kalimantan Selatan",-29.81
"Sulawesi Barat",-27.97
"Sumatera Selatan",-18.35
"Kalimantan Tengah",-14.48
Papua,-7.34
Yogyakarta,-13.68
Bali,-30.1
Bengkulu,-17.8
"Sulawesi Tenggara",-30.09
"Nusa Tenggara Timur",-9.72
"DKI Jakarta",-19.66
"Kepulauan Riau",-20.97
"Sulawesi Utara",-3.1
"Jawa Timur",-17.06
"Nusa Tenggara Barat",-45.17
"Sulawesi Selatan",-12.29
"Sulawesi Tengah",-28.34
"Sumatera Utara",-26.95
"Jawa Tengah",-12.13
"Jawa Barat",-18.36
Jambi,-21.79
"Bangka Belitung",-31.75
Lampung,-12.98
"Nangro Aceh Darussalam",-20.39
"Kalimantan Timur",-20.05
"Maluku Utara",-12.32
Gorontalo,-24.55
Maluku,-5.93
"Papua Barat",-7.96
