name,value
"Sulawesi Selatan",-4.97
"Sulawesi Tengah",-0.24
"Nusa Tenggara Barat",-0.51
"Papua Barat",-1.22
Yogyakarta,-9.75
Bali,-2.42
"Sumatera Barat",-10.53
Riau,-10.31
Banten,-9.98
"Kalimantan Selatan",-4.27
"DKI Jakarta",-4.82
"Kepulauan Riau",-12.95
"Sulawesi Utara",-25.23
"Jawa Barat",-13.23
"Sumatera Utara",-3.47
"Bangka Belitung",-1.46
"Jawa Tengah",-6.54
Jambi,-14.49
"Jawa Timur",-3.02
Maluku,-2.3
"Kalimantan Barat",-23.78
Gorontalo,-17.3
"Sulawesi Barat",-9.3
"Maluku Utara",0.52
"Kalimantan Timur",-13.12
"Nangro Aceh Darussalam",-16.95
"Sumatera Selatan",-10
"Kalimantan Tengah",-9.33
Papua,-0.6
"Nusa Tenggara Timur",-0.84
"Sulawesi Tenggara",0.24
Bengkulu,-22.31
Lampung,-10.59
