name,value
"Sulawesi Selatan",10.25
"Sulawesi Tengah",1.3
"Nusa Tenggara Barat",2.97
"Papua Barat",3.95
Yogyakarta,10.52
Bali,7.84
"Sumatera Barat",6.03
Riau,7.53
Banten,7.67
"Kalimantan Selatan",6.51
"DKI Jakarta",8.92
"Kepulauan Riau",4.17
"Sulawesi Utara",6.16
"Jawa Barat",7.12
"Sumatera Utara",8.22
"Bangka Belitung",4.9
"Jawa Tengah",10.47
Jambi,5.35
"Jawa Timur",7.63
Maluku,4.62
"Kalimantan Barat",2.02
Gorontalo,0.71
"Sulawesi Barat",1.98
"Maluku Utara",5.67
"Kalimantan Timur",1.03
"Nangro Aceh Darussalam",2.46
"Sumatera Selatan",8.71
"Kalimantan Tengah",1.26
Papua,4.72
"Nusa Tenggara Timur",2.18
"Sulawesi Tenggara",1.56
Bengkulu,1.16
Lampung,5.21
