name,value
Riau,-6.13
"Sumatera Barat",-3.14
"Kalimantan Barat",-20.03
Gorontalo,-23.71
"Sulawesi Selatan",3.02
"Papua Barat",3.42
"Sulawesi Tengah",-0.15
"Nusa Tenggara Barat",0.59
"Nusa Tenggara Timur",-0.11
Yogyakarta,0.18
Bali,0.07
Maluku,-1.08
"Sumatera Selatan",-3.23
"Kalimantan Tengah",-8.09
Papua,1.06
Lampung,-6.42
Bengkulu,-17.48
"Sulawesi Tenggara",0.89
"DKI Jakarta",-0.98
"Kepulauan Riau",-8.96
"Sulawesi Utara",-20.8
"Kalimantan Timur",-8.57
"Nangro Aceh Darussalam",-15.86
"Kalimantan Selatan",-3.09
Banten,-5.58
"Sulawesi Barat",-7.45
"Maluku Utara",-2.63
"Jawa Timur",1.83
"Sumatera Utara",0.96
"Jawa Tengah",-0.07
"Jawa Barat",-8.28
Jambi,-8.98
"Bangka Belitung",0.65
