name,value
Riau,8.67
"Sumatera Barat",8.56
"Kalimantan Barat",2.73
Gorontalo,0.53
"Sulawesi Selatan",14.06
"Papua Barat",9.01
"Sulawesi Tengah",1.49
"Nusa Tenggara Barat",4.87
"Nusa Tenggara Timur",2.8
Yogyakarta,16.14
Bali,9.19
Maluku,5.95
"Sumatera Selatan",10.65
"Kalimantan Tengah",1.82
Papua,6.23
Lampung,8.12
Bengkulu,1.8
"Sulawesi Tenggara",2.45
"DKI Jakarta",11.69
"Kepulauan Riau",6.98
"Sulawesi Utara",6.73
"Kalimantan Timur",2.92
"Nangro Aceh Darussalam",3.16
"Kalimantan Selatan",7
Banten,9.93
"Sulawesi Barat",2.41
"Maluku Utara",6.14
"Jawa Timur",10.4
"Sumatera Utara",10.34
"Jawa Tengah",13.75
"Jawa Barat",8.84
Jambi,7.01
"Bangka Belitung",7.43
