name,value
"Sulawesi Selatan",-2.17
"Nusa Tenggara Barat",-43.56
"Papua Barat",-5.28
"Sulawesi Tengah",-18.66
"Kalimantan Selatan",-26.93
Banten,-21.21
"Sulawesi Tenggara",-18.49
Bengkulu,-16.31
"Sumatera Barat",-21.89
Riau,-16.41
"Kalimantan Timur",-15.94
"Nangro Aceh Darussalam",-21.09
Maluku,-2.11
"Sulawesi Barat",-19.25
"Maluku Utara",-0.84
"Jawa Barat",-15.58
"Jawa Tengah",-5.89
"Sumatera Utara",-19.68
Jambi,-15.96
"Bangka Belitung",-25.19
"Jawa Timur",-12.29
"Nusa Tenggara Timur",-12.73
"DKI Jakarta",-14.67
"Sulawesi Utara",-2.09
"Kepulauan Riau",-17.42
Lampung,-10.39
"Sumatera Selatan",-14.45
"Kalimantan Tengah",-12.17
Papua,-6.22
"Kalimantan Barat",-15.7
Gorontalo,-18.61
Yogyakarta,-5.55
Bali,-22.56
