name,value
"Sulawesi Selatan",13.88
"Nusa Tenggara Barat",5.46
"Papua Barat",8.8
"Sulawesi Tengah",1.73
"Kalimantan Selatan",5.8
Banten,9.35
"Sulawesi Tenggara",1.74
Bengkulu,1.78
"Sumatera Barat",7.52
Riau,9.6
"Kalimantan Timur",3.25
"Nangro Aceh Darussalam",3.24
Maluku,5.62
"Sulawesi Barat",3.39
"Maluku Utara",7.08
"Jawa Barat",9.14
"Jawa Tengah",14.18
"Sumatera Utara",10.86
Jambi,7.19
"Bangka Belitung",8.43
"Jawa Timur",10.55
"Nusa Tenggara Timur",3.18
"DKI Jakarta",11.02
"Sulawesi Utara",5.66
"Kepulauan Riau",6.13
Lampung,8.24
"Sumatera Selatan",10.43
"Kalimantan Tengah",1.36
Papua,5.8
"Kalimantan Barat",2.46
Gorontalo,0.43
Yogyakarta,15.81
Bali,10.37
