name,value
"Sumatera Barat",2.19
Riau,3.36
"Maluku Utara",-8.73
"Sulawesi Barat",-4.14
"Nusa Tenggara Timur",-10.79
"Kalimantan Barat",-14.32
Gorontalo,-2.1
Yogyakarta,-3.59
Bali,-6.67
"Kalimantan Timur",-15.54
"Nangro Aceh Darussalam",-0.19
"Sumatera Selatan",-0.42
Papua,-11.29
"Kalimantan Tengah",-19.7
Maluku,-18.31
Lampung,-14.1
"Sulawesi Tenggara",-6.21
Bengkulu,-13.59
"Kalimantan Selatan",-10.35
Banten,-8.98
"Sulawesi Selatan",-3.24
"Nusa Tenggara Barat",2.26
"Papua Barat",-6.55
"Sulawesi Tengah",-11.47
"Kepulauan Riau",-5.45
"DKI Jakarta",-10.4
"Sulawesi Utara",-9.13
"Jawa Timur",-14.57
"Sumatera Utara",0.79
"Jawa Barat",-12.06
"Jawa Tengah",-9.92
"Bangka Belitung",-6.46
Jambi,-1.91
