name,value
Banten,-8.87
"Kalimantan Selatan",-18.78
"Sumatera Barat",-18.98
Riau,-14.28
"Kalimantan Barat",-17.32
Gorontalo,-28.48
"Sulawesi Selatan",-0.26
"Nusa Tenggara Barat",-34.8
"Sulawesi Tengah",-34.46
"Papua Barat",-13.44
Bengkulu,-20.27
"Sulawesi Tenggara",-41.74
"DKI Jakarta",-7.63
"Kepulauan Riau",-16.37
"Sulawesi Utara",-1.98
"Nusa Tenggara Timur",-35.1
Lampung,-12.98
"Sumatera Selatan",-11.85
Papua,-14.26
"Kalimantan Tengah",-20.53
"Nangro Aceh Darussalam",-34.22
"Kalimantan Timur",-23.31
Bali,-4.69
Yogyakarta,5.95
Maluku,-3.26
"Maluku Utara",-3.71
"Sulawesi Barat",-32.85
"Jawa Timur",-4.44
"Jawa Barat",-10.21
"Sumatera Utara",-16.62
"Jawa Tengah",0.94
Jambi,-14.98
"Bangka Belitung",-20.19
