name,value
Banten,15.11
"Kalimantan Selatan",10.25
"Sumatera Barat",14.81
Riau,15.67
"Kalimantan Barat",4.74
Gorontalo,1.11
"Sulawesi Selatan",20.18
"Nusa Tenggara Barat",7.6
"Sulawesi Tengah",3.06
"Papua Barat",12.5
Bengkulu,2.9
"Sulawesi Tenggara",3.6
"DKI Jakarta",15.62
"Kepulauan Riau",9.87
"Sulawesi Utara",10.57
"Nusa Tenggara Timur",5.45
Lampung,11.86
"Sumatera Selatan",16.26
Papua,13.06
"Kalimantan Tengah",2.24
"Nangro Aceh Darussalam",5.59
"Kalimantan Timur",3.05
Bali,21.05
Yogyakarta,24.58
Maluku,10.6
"Maluku Utara",14.81
"Sulawesi Barat",3.44
"Jawa Timur",16.62
"Jawa Barat",14.06
"Sumatera Utara",15.58
"Jawa Tengah",20.38
Jambi,13.87
"Bangka Belitung",13.5
