name,value
"Sumatera Selatan",-9.26
"Kalimantan Tengah",-24.79
Papua,-4.67
Riau,-14.89
"Sumatera Barat",-13.24
"Kalimantan Barat",-19.47
Gorontalo,-29.6
"Jawa Timur",-10.57
"Nusa Tenggara Timur",-21.13
Yogyakarta,-1.72
Bali,-8.7
Maluku,-13.39
"Sulawesi Selatan",-3.23
"Nusa Tenggara Barat",-30.66
"Sulawesi Tengah",-29.11
"Papua Barat",-5.48
Lampung,-10.37
"Kalimantan Timur",-22.79
"Nangro Aceh Darussalam",-23.19
"Sulawesi Barat",-26.71
"Maluku Utara",-15.46
"DKI Jakarta",-8.38
"Sulawesi Utara",-22.33
"Kepulauan Riau",-18.04
Banten,-8.78
"Kalimantan Selatan",-14.73
Bengkulu,-25.56
"Sulawesi Tenggara",-23.42
"Sumatera Utara",-13.57
"Jawa Barat",-11.04
"Jawa Tengah",-2.41
Jambi,-9.79
"Bangka Belitung",-13.58
