name,value
"Sumatera Selatan",16.12
"Kalimantan Tengah",2.94
Papua,15.91
Riau,15.77
"Sumatera Barat",14.31
"Kalimantan Barat",5.16
Gorontalo,2
"Jawa Timur",17.58
"Nusa Tenggara Timur",7.03
Yogyakarta,23.83
Bali,19.2
Maluku,14.29
"Sulawesi Selatan",22.44
"Nusa Tenggara Barat",10.6
"Sulawesi Tengah",3.37
"Papua Barat",16.97
Lampung,14.36
"Kalimantan Timur",6.78
"Nangro Aceh Darussalam",5.79
"Sulawesi Barat",5.4
"Maluku Utara",13.04
"DKI Jakarta",17.36
"Sulawesi Utara",11.08
"Kepulauan Riau",11.37
Banten,16.24
"Kalimantan Selatan",11.11
Bengkulu,3.11
"Sulawesi Tenggara",5.4
"Sumatera Utara",14.89
"Jawa Barat",14.79
"Jawa Tengah",22.07
Jambi,14.49
"Bangka Belitung",12.79
