name,value
"Kalimantan Barat",-9.46
Gorontalo,-21.96
Riau,-12.34
"Sumatera Barat",-19.31
"Sulawesi Tenggara",-29.57
Bengkulu,-14.94
"Sulawesi Barat",-24.93
"Maluku Utara",-9.61
Maluku,-6.05
Bali,-8.93
Yogyakarta,6.67
"Sumatera Selatan",-8.36
"Kalimantan Tengah",-11.65
Papua,3.34
Lampung,-7.13
"Nangro Aceh Darussalam",-25.61
"Kalimantan Timur",-10.86
"DKI Jakarta",-4.16
"Kepulauan Riau",-13.29
"Sulawesi Utara",2.32
"Sulawesi Selatan",7.17
"Papua Barat",-5.79
"Nusa Tenggara Barat",-29.57
"Sulawesi Tengah",-26.93
"Nusa Tenggara Timur",-31.86
Banten,-7.84
"Kalimantan Selatan",-14.83
"Jawa Timur",-1.94
"Jawa Barat",-6.98
"Sumatera Utara",-13.81
"Jawa Tengah",5.58
Jambi,-10.83
"Bangka Belitung",-18
