name,value
Lampung,-15.71
"Sumatera Barat",5.16
Riau,8.43
"Kalimantan Barat",-20.07
Gorontalo,-4.44
Banten,-6.41
"Kalimantan Selatan",-11.28
"Sulawesi Selatan",-4.24
"Papua Barat",-12.03
"Nusa Tenggara Barat",0.57
"Sulawesi Tengah",-14.1
"Kalimantan Timur",-21.87
"Nangro Aceh Darussalam",1.28
"Sumatera Selatan",-0.1
Papua,-14.52
"Kalimantan Tengah",-30.74
Bengkulu,-22.43
"Sulawesi Tenggara",-5.06
"DKI Jakarta",-7.13
"Sulawesi Utara",-10.26
"Kepulauan Riau",-7.6
Yogyakarta,3.51
Bali,0.22
"Nusa Tenggara Timur",-19.33
Maluku,-38.87
"Jawa Timur",-9.33
"Sulawesi Barat",-2.36
"Maluku Utara",-13.14
"Bangka Belitung",-10.28
"Jawa Barat",-7.46
"Jawa Tengah",-3.35
"Sumatera Utara",1.05
Jambi,-2.87
