name,value
Lampung,10.13
"Sumatera Barat",13.04
Riau,14.24
"Kalimantan Barat",3.19
Gorontalo,0.48
Banten,13.62
"Kalimantan Selatan",11.15
"Sulawesi Selatan",16.36
"Papua Barat",13.92
"Nusa Tenggara Barat",5.5
"Sulawesi Tengah",1.86
"Kalimantan Timur",2.44
"Nangro Aceh Darussalam",4.96
"Sumatera Selatan",14.61
Papua,10.74
"Kalimantan Tengah",2.29
Bengkulu,1.64
"Sulawesi Tenggara",2.56
"DKI Jakarta",14.31
"Sulawesi Utara",9.43
"Kepulauan Riau",7.89
Yogyakarta,21.33
Bali,16.07
"Nusa Tenggara Timur",3.99
Maluku,5.92
"Jawa Timur",14.25
"Sulawesi Barat",3.2
"Maluku Utara",9.49
"Bangka Belitung",9.07
"Jawa Barat",12.51
"Jawa Tengah",18.72
"Sumatera Utara",13.89
Jambi,12.72
