name,value
Gorontalo,-39.86
"Kalimantan Barat",-21.51
"Sumatera Selatan",-15.27
Papua,-11.87
"Kalimantan Tengah",-21.26
"Sulawesi Selatan",-8.78
"Nusa Tenggara Barat",-43.52
"Sulawesi Tengah",-40.19
"Papua Barat",-14.85
Riau,-19.95
"Sumatera Barat",-24.11
"Nusa Tenggara Timur",-31.81
Maluku,-9.29
Bali,-16.03
Yogyakarta,1.49
"Nangro Aceh Darussalam",-35.46
"Kalimantan Timur",-23.81
Lampung,-15.72
"Sulawesi Barat",-32.46
"Kalimantan Selatan",-21.88
Banten,-13.17
"Jawa Timur",-7.83
"Jawa Barat",-12.28
"Sumatera Utara",-20.74
"Bangka Belitung",-24.71
"Jawa Tengah",-3.41
Jambi,-19.77
Bengkulu,-24.38
"Sulawesi Tenggara",-51.31
"Sulawesi Utara",-3.67
"DKI Jakarta",-9.85
"Kepulauan Riau",-18.84
"Maluku Utara",-18.24
