name,value
"Kalimantan Timur",8.57
"Nangro Aceh Darussalam",5.2
Banten,16.21
"Kalimantan Selatan",13.71
"Sulawesi Selatan",24.97
"Nusa Tenggara Barat",8.92
"Sulawesi Tengah",4.02
"Papua Barat",15.81
"Kalimantan Barat",5.71
Gorontalo,1.73
"Sumatera Utara",13.89
Jambi,12.49
"Jawa Barat",15.54
"Jawa Tengah",23.81
"Bangka Belitung",12.33
"Jawa Timur",17.68
"DKI Jakarta",17.31
"Sulawesi Utara",13.84
"Kepulauan Riau",10.85
"Sulawesi Barat",6.82
"Maluku Utara",7.46
"Sulawesi Tenggara",4.44
Bengkulu,3.13
Bali,19.99
Yogyakarta,24.28
"Nusa Tenggara Timur",7.21
Maluku,14.73
"Sumatera Selatan",15.68
"Kalimantan Tengah",4.39
Papua,19.24
Riau,14.62
"Sumatera Barat",12.15
Lampung,15.27
