name,value
"Sulawesi Barat",-6.99
"Maluku Utara",0
"Jawa Timur",7.96
Bali,12.5
Yogyakarta,7.99
"Kalimantan Selatan",2.62
Banten,1.44
"Sumatera Barat",-0.16
Riau,0.42
"Sumatera Utara",4.76
"Jawa Tengah",8.46
"Jawa Barat",-0.5
"Bangka Belitung",8.28
Jambi,-0.76
"Nusa Tenggara Barat",4.87
"Sulawesi Selatan",9
"Papua Barat",7.24
"Sulawesi Tengah",-0.08
"Sumatera Selatan",3.88
"Kalimantan Tengah",-16.61
Papua,3.08
"Nangro Aceh Darussalam",-18.3
"Kalimantan Timur",-6.12
Lampung,3.09
"Kalimantan Barat",-14.89
Gorontalo,-30.23
Maluku,1.82
"Nusa Tenggara Timur",1.69
"Sulawesi Tenggara",1.25
Bengkulu,-16.11
"DKI Jakarta",3.77
"Kepulauan Riau",-3.72
"Sulawesi Utara",-11.3
