name,value
"Sulawesi Barat",5
"Maluku Utara",15.16
"Jawa Timur",17.43
Bali,20.43
Yogyakarta,22.37
"Kalimantan Selatan",10.58
Banten,15.4
"Sumatera Barat",13.35
Riau,14.98
"Sumatera Utara",14.97
"Jawa Tengah",20.77
"Jawa Barat",14.01
"Bangka Belitung",14.35
Jambi,14.24
"Nusa Tenggara Barat",11.91
"Sulawesi Selatan",21.03
"Papua Barat",17.27
"Sulawesi Tengah",3.77
"Sumatera Selatan",16.14
"Kalimantan Tengah",2.72
Papua,16.65
"Nangro Aceh Darussalam",6.02
"Kalimantan Timur",8.41
Lampung,14.61
"Kalimantan Barat",5.03
Gorontalo,1.39
Maluku,11.52
"Nusa Tenggara Timur",5.95
"Sulawesi Tenggara",4.53
Bengkulu,3.19
"DKI Jakarta",16.35
"Kepulauan Riau",10.47
"Sulawesi Utara",10.3
