name,value
"Maluku Utara",-5.45
"Sulawesi Barat",-34.78
"Kalimantan Barat",-16.36
Gorontalo,-23.82
Banten,-9.23
"Kalimantan Selatan",-18.17
"Nusa Tenggara Timur",-30.64
Lampung,-10.43
"Jawa Timur",-5.33
"Jawa Barat",-9.64
"Sumatera Utara",-15.54
"Jawa Tengah",0.74
Jambi,-12.82
"Bangka Belitung",-14.75
"Sulawesi Selatan",4.28
"Nusa Tenggara Barat",-21.73
"Papua Barat",-2.38
"Sulawesi Tengah",-27.99
Maluku,-1.08
Bali,-10.79
Yogyakarta,2.98
"DKI Jakarta",-7.68
"Kepulauan Riau",-16.74
"Sulawesi Utara",-0.44
Riau,-14.1
"Sumatera Barat",-17.39
"Sulawesi Tenggara",-35.95
Bengkulu,-17.39
"Sumatera Selatan",-11.26
Papua,-1.88
"Kalimantan Tengah",-16.2
"Kalimantan Timur",-8.67
"Nangro Aceh Darussalam",-27.72
