name,value
Lampung,-13.14
"Jawa Tengah",0.77
"Jawa Barat",-10.37
Jambi,-15.31
"Sumatera Utara",-16.16
"Bangka Belitung",-20.63
"Nusa Tenggara Timur",-37.95
"Kalimantan Barat",-18.37
Gorontalo,-30.37
Bali,-1.61
Yogyakarta,4.21
Maluku,-3.86
"Sumatera Barat",-18.85
Riau,-16.95
"Nangro Aceh Darussalam",-34.6
"Kalimantan Timur",-23.18
"Sumatera Selatan",-12.99
"Kalimantan Tengah",-20.79
Papua,-7.16
"Jawa Timur",-4.45
"Sulawesi Barat",-32.73
"Maluku Utara",1.45
"Sulawesi Selatan",-3.15
"Nusa Tenggara Barat",-35.76
"Sulawesi Tengah",-35.69
"Papua Barat",-14.53
"Sulawesi Tenggara",-45.91
Bengkulu,-22.75
"DKI Jakarta",-7.62
"Sulawesi Utara",-2.22
"Kepulauan Riau",-14.04
"Kalimantan Selatan",-19.15
Banten,-9.68
