name,value
Gorontalo,-29.5
"Kalimantan Barat",-22.74
Banten,-11.77
"Kalimantan Selatan",-19.99
"Jawa Timur",-12.04
"Sumatera Barat",-17.07
Riau,-19.13
"Nangro Aceh Darussalam",-28.91
"Kalimantan Timur",-27.33
Maluku,-26.15
Bengkulu,-27.18
"Sulawesi Tenggara",-30.13
Bali,-10.05
Yogyakarta,-3.52
"Nusa Tenggara Timur",-21.8
"Kepulauan Riau",-24.1
"DKI Jakarta",-12.04
"Sulawesi Utara",-23.77
"Sulawesi Selatan",-4.95
"Nusa Tenggara Barat",-34.3
"Papua Barat",-10.03
"Sulawesi Tengah",-32.39
"Sulawesi Barat",-31.01
"Maluku Utara",-23.2
"Jawa Barat",-12.83
"Sumatera Utara",-14.76
"Jawa Tengah",-3.9
Jambi,-16.48
"Bangka Belitung",-15.53
"Sumatera Selatan",-13.92
Papua,-8.95
"Kalimantan Tengah",-35.27
Lampung,-15.67
