name,value
Gorontalo,1.45
"Kalimantan Barat",4.62
Banten,14.88
"Kalimantan Selatan",9.19
"Jawa Timur",16.63
"Sumatera Barat",14.64
Riau,14.13
"Nangro Aceh Darussalam",5.44
"Kalimantan Timur",5.62
Maluku,9.23
Bengkulu,2.58
"Sulawesi Tenggara",3.74
Bali,18.62
Yogyakarta,23.44
"Nusa Tenggara Timur",6.37
"Kepulauan Riau",10.18
"DKI Jakarta",15.78
"Sulawesi Utara",10.86
"Sulawesi Selatan",20.76
"Nusa Tenggara Barat",7.28
"Papua Barat",13.37
"Sulawesi Tengah",2.99
"Sulawesi Barat",4.39
"Maluku Utara",9.79
"Jawa Barat",13.93
"Sumatera Utara",15.53
"Jawa Tengah",21.35
Jambi,13.51
"Bangka Belitung",11.9
"Sumatera Selatan",14.83
Papua,14.99
"Kalimantan Tengah",2.77
Lampung,12.71
