name,value
Banten,0.6
"Kalimantan Selatan",4.32
"Sulawesi Barat",-8.43
"Maluku Utara",-0.88
"Jawa Barat",0.19
Jambi,-2.64
"Jawa Tengah",8.87
"Sumatera Utara",-1.6
"Bangka Belitung",4.85
"Sulawesi Selatan",4.87
"Nusa Tenggara Barat",-3.08
"Sulawesi Tengah",-0.15
"Papua Barat",1.24
"DKI Jakarta",3.97
"Sulawesi Utara",-8.99
"Kepulauan Riau",-5.68
Bengkulu,-15.16
"Sulawesi Tenggara",0.72
"Jawa Timur",4.71
"Nusa Tenggara Timur",2.32
"Kalimantan Tengah",-13.85
"Sumatera Selatan",3.05
Papua,3.65
Lampung,1.87
Riau,-1.87
"Sumatera Barat",-4.62
"Kalimantan Timur",-7.21
"Nangro Aceh Darussalam",-16.99
Maluku,8.38
Yogyakarta,8.41
Bali,10.14
"Kalimantan Barat",-12.72
Gorontalo,-25.87
