name,value
"Sulawesi Barat",-13.87
"Maluku Utara",-14.17
Riau,4.55
"Sumatera Barat",0.28
"Sulawesi Selatan",-0.74
"Nusa Tenggara Barat",2.5
"Sulawesi Tengah",-26.41
"Papua Barat",-13.03
Banten,-6.34
"Kalimantan Selatan",-13.29
Yogyakarta,3.12
Bali,-1.44
"Kalimantan Barat",-31.12
Gorontalo,-11.83
Lampung,-14.75
Maluku,-19.9
"Kalimantan Timur",-19.58
"Nangro Aceh Darussalam",-3.55
Papua,-13.54
"Sumatera Selatan",-6.03
"Kalimantan Tengah",-30.41
"Jawa Timur",-9.2
"Jawa Tengah",-2.62
Jambi,-4.99
"Sumatera Utara",0.28
"Jawa Barat",-7.64
"Bangka Belitung",-5.94
"Nusa Tenggara Timur",-15.55
"Sulawesi Utara",-10.33
"DKI Jakarta",-6.3
"Kepulauan Riau",-7.67
Bengkulu,-22.9
"Sulawesi Tenggara",-25.81
