name,value
"Sulawesi Barat",5.6
"Maluku Utara",14.58
Riau,14.45
"Sumatera Barat",12.46
"Sulawesi Selatan",20.1
"Nusa Tenggara Barat",8.12
"Sulawesi Tengah",3.04
"Papua Barat",13.03
Banten,15.8
"Kalimantan Selatan",11.07
Yogyakarta,21.61
Bali,16.35
"Kalimantan Barat",5.62
Gorontalo,1.26
Lampung,13.58
Maluku,14.29
"Kalimantan Timur",6.85
"Nangro Aceh Darussalam",5.77
Papua,13.95
"Sumatera Selatan",15.67
"Kalimantan Tengah",3.45
"Jawa Timur",15.52
"Jawa Tengah",20.12
Jambi,12.62
"Sumatera Utara",14.02
"Jawa Barat",14.48
"Bangka Belitung",13.31
"Nusa Tenggara Timur",6.15
"Sulawesi Utara",12.44
"DKI Jakarta",16.6
"Kepulauan Riau",10.51
Bengkulu,3.07
"Sulawesi Tenggara",3.74
