name,value
"Sulawesi Barat",-5.94
"Maluku Utara",7.15
"Kalimantan Barat",-12.47
Gorontalo,-30.2
Riau,0.44
"Sumatera Barat",-0.52
"Nusa Tenggara Timur",2.45
"Jawa Tengah",10.05
"Sumatera Utara",2.86
"Jawa Barat",1.4
"Bangka Belitung",6.7
Jambi,-2.67
"Sulawesi Selatan",8.87
"Sulawesi Tengah",0.47
"Nusa Tenggara Barat",0.98
"Papua Barat",2.38
"Jawa Timur",8.61
Yogyakarta,9.9
Bali,11.43
Maluku,5.87
"Kalimantan Timur",-8.27
"Nangro Aceh Darussalam",-15.21
Lampung,3.17
"Sumatera Selatan",4.51
Papua,9.22
"Kalimantan Tengah",-17.82
"DKI Jakarta",5.73
"Kepulauan Riau",-3.92
"Sulawesi Utara",-8.57
Bengkulu,-16.72
"Sulawesi Tenggara",1.17
Banten,3
"Kalimantan Selatan",2.95
