name,value
"Sulawesi Barat",7.37
"Maluku Utara",21.83
"Kalimantan Barat",5.77
Gorontalo,1.26
Riau,15.65
"Sumatera Barat",14.12
"Nusa Tenggara Timur",6.93
"Jawa Tengah",21.93
"Sumatera Utara",15.3
"Jawa Barat",15.39
"Bangka Belitung",13.35
Jambi,13.5
"Sulawesi Selatan",22.43
"Sulawesi Tengah",3.6
"Nusa Tenggara Barat",10.11
"Papua Barat",16.67
"Jawa Timur",18.27
Yogyakarta,23.61
Bali,19.01
Maluku,15.26
"Kalimantan Timur",7.04
"Nangro Aceh Darussalam",7.74
Lampung,14.51
"Sumatera Selatan",16.39
Papua,21.04
"Kalimantan Tengah",3.02
"DKI Jakarta",18.03
"Kepulauan Riau",11.12
"Sulawesi Utara",12.77
Bengkulu,3.1
"Sulawesi Tenggara",4.57
Banten,16.78
"Kalimantan Selatan",11.11
