name,value
"Jawa Timur",-23.87
"Jawa Barat",-18.18
"Jawa Tengah",-18.85
Jambi,-0.23
"Sumatera Utara",-0.28
"Bangka Belitung",-9.91
"Sulawesi Selatan",-5.6
"Nusa Tenggara Barat",-0.12
"Papua Barat",-0.73
"Sulawesi Tengah",-5.19
"Maluku Utara",-0.86
"Sulawesi Barat",-0.82
Banten,-13.6
"Kalimantan Selatan",-11.78
"Sulawesi Tenggara",-1.23
Bengkulu,-7.28
"Sulawesi Utara",-12.54
"DKI Jakarta",-17.47
"Kepulauan Riau",-7.52
"Kalimantan Barat",-16.92
Gorontalo,-1.52
Maluku,-1.81
Bali,-10.9
Yogyakarta,-8.66
"Nusa Tenggara Timur",-2.13
Lampung,-20.8
"Sumatera Selatan",-0.29
Papua,-0.97
"Kalimantan Tengah",-20.8
Riau,2.11
"Sumatera Barat",0.5
"Kalimantan Timur",-16.26
"Nangro Aceh Darussalam",0.08
