name,value
"Sulawesi Tenggara",0.05
Bengkulu,-19.22
"Nusa Tenggara Timur",0.04
"Sumatera Barat",-6.47
Riau,-6.06
Lampung,-10.44
"Sulawesi Selatan",-0.35
"Sulawesi Tengah",-0.14
"Nusa Tenggara Barat",-0.05
"Papua Barat",0.01
"Kalimantan Barat",-26.8
Gorontalo,-17.05
Banten,-10.36
"Kalimantan Selatan",-4.47
"DKI Jakarta",-4.43
"Kepulauan Riau",-9.02
"Sulawesi Utara",-24.3
Jambi,-8.72
"Jawa Barat",-12.42
"Jawa Tengah",-4.65
"Sumatera Utara",-1.16
"Bangka Belitung",0.57
"Sulawesi Barat",-4.62
"Maluku Utara",-0.2
"Nangro Aceh Darussalam",-13.55
"Kalimantan Timur",-7.91
"Jawa Timur",-0.62
"Sumatera Selatan",-6.12
Papua,0.07
"Kalimantan Tengah",-7.59
Yogyakarta,-5.29
Bali,-2.29
Maluku,-0.04
