name,value
"Sumatera Barat",-7.09
Riau,-6.29
"Sulawesi Barat",-4.96
"Maluku Utara",-0.2
Gorontalo,-19.95
"Kalimantan Barat",-25.06
Banten,-10.74
"Kalimantan Selatan",-3.05
Lampung,-10.44
"Nangro Aceh Darussalam",-14.77
"Kalimantan Timur",-9.57
"Kalimantan Tengah",-7.77
Papua,0.04
"Sumatera Selatan",-4.3
"Nusa Tenggara Timur",0.02
"Sulawesi Tenggara",-0.04
Bengkulu,-19.07
"Sulawesi Selatan",0.41
"Nusa Tenggara Barat",-1.61
"Papua Barat",0.06
"Sulawesi Tengah",-0.13
"Kepulauan Riau",-10.85
"Sulawesi Utara",-22.26
"DKI Jakarta",-2.69
"Jawa Timur",-0.6
Maluku,0.05
"Sumatera Utara",-2.06
Jambi,-9.47
"Jawa Barat",-9.83
"Jawa Tengah",-0.95
"Bangka Belitung",1.06
Yogyakarta,-2.97
Bali,-2.17
