name,value
Gorontalo,-1.2
"Kalimantan Barat",-16.11
"Kalimantan Selatan",-11.21
Banten,-14.93
"Sumatera Utara",-0.77
"Jawa Barat",-19.24
"Bangka Belitung",-10.9
"Jawa Tengah",-21.82
Jambi,0.04
"Jawa Timur",-25.55
"Sumatera Barat",-0.52
Riau,1.56
Yogyakarta,-11.7
Bali,-12.23
Maluku,-1.98
"Sulawesi Tenggara",-0.72
Bengkulu,-6.06
"Sulawesi Utara",-12.91
"Kepulauan Riau",-7.7
"DKI Jakarta",-18.04
"Nusa Tenggara Timur",-2.37
"Sulawesi Tengah",-5.05
"Sulawesi Selatan",-6.02
"Nusa Tenggara Barat",-0.68
"Papua Barat",-0.67
"Sulawesi Barat",-0.75
"Maluku Utara",-1.06
Lampung,-21.79
"Nangro Aceh Darussalam",-0.04
"Kalimantan Timur",-16.78
"Sumatera Selatan",-0.59
Papua,-0.97
"Kalimantan Tengah",-21.11
