name,value
Gorontalo,0.23
"Kalimantan Barat",0.81
"Kalimantan Selatan",4.73
Banten,5.82
"Sumatera Utara",5.9
"Jawa Barat",5.83
"Bangka Belitung",3.15
"Jawa Tengah",9.11
Jambi,3.02
"Jawa Timur",6.09
"Sumatera Barat",3.59
Riau,4.96
Yogyakarta,10.95
Bali,4.16
Maluku,0.3
"Sulawesi Tenggara",0.31
Bengkulu,0.44
"Sulawesi Utara",3.34
"Kepulauan Riau",2.31
"DKI Jakarta",6.87
"Nusa Tenggara Timur",0.27
"Sulawesi Tengah",0.27
"Sulawesi Selatan",7.83
"Nusa Tenggara Barat",1.4
"Papua Barat",0.3
"Sulawesi Barat",0.66
"Maluku Utara",0.18
Lampung,4.72
"Nangro Aceh Darussalam",1.29
"Kalimantan Timur",0.47
"Sumatera Selatan",6.99
Papua,0.32
"Kalimantan Tengah",0.59
