name,value
"DKI Jakarta",6.65
"Sulawesi Utara",3.28
"Kepulauan Riau",1.94
"Kalimantan Barat",0.72
Gorontalo,0.22
"Sumatera Selatan",6.33
Papua,0.31
"Kalimantan Tengah",0.57
"Sulawesi Barat",0.64
"Maluku Utara",0.16
Yogyakarta,10.45
Bali,3.77
"Jawa Timur",5.72
"Nusa Tenggara Barat",1.23
"Sulawesi Selatan",7.32
"Papua Barat",0.31
"Sulawesi Tengah",0.29
"Nusa Tenggara Timur",0.24
Maluku,0.27
"Kalimantan Selatan",4.4
Banten,5.32
"Sulawesi Tenggara",0.28
Bengkulu,0.39
Riau,4.52
"Sumatera Barat",3.16
Lampung,4.31
"Jawa Tengah",8.49
"Jawa Barat",5.5
"Sumatera Utara",5.25
Jambi,2.48
"Bangka Belitung",2.64
"Kalimantan Timur",0.44
"Nangro Aceh Darussalam",1.16
