name,value
Gorontalo,-70.19
"Kalimantan Barat",-38.88
"Kalimantan Timur",-60.85
"Nangro Aceh Darussalam",-67.44
"Sulawesi Barat",-83.5
"Maluku Utara",-95.98
"Sumatera Barat",-51.93
Riau,-55.69
"Sulawesi Utara",-47.72
"Kepulauan Riau",-48.7
"DKI Jakarta",-26.63
Maluku,-96.77
Bali,-26.37
Yogyakarta,-14.99
"Sulawesi Selatan",-38.42
"Nusa Tenggara Barat",-45.37
"Papua Barat",-97.44
"Sulawesi Tengah",-83.49
"Jawa Timur",-26.65
"Sumatera Selatan",-40
"Kalimantan Tengah",-54.72
Papua,-95.18
Jambi,-54.98
"Sumatera Utara",-43.99
"Jawa Barat",-22.27
"Bangka Belitung",-30.13
"Jawa Tengah",-13.96
Lampung,-29.04
Banten,-22.48
"Kalimantan Selatan",-29.01
"Nusa Tenggara Timur",-91.66
Bengkulu,-59.92
"Sulawesi Tenggara",-89.68
