name,value
Riau,6.89
"Sumatera Barat",5.75
"Sulawesi Selatan",12.5
"Sulawesi Tengah",0.58
"Nusa Tenggara Barat",3.08
"Papua Barat",0.66
Banten,7.73
"Kalimantan Selatan",5.31
"DKI Jakarta",8.52
"Kepulauan Riau",3.89
"Sulawesi Utara",4.45
"Kalimantan Barat",1.57
Gorontalo,0.42
"Nangro Aceh Darussalam",1.94
"Kalimantan Timur",1.8
Lampung,6.93
"Sumatera Selatan",8.98
Papua,0.77
"Kalimantan Tengah",0.87
Maluku,0.55
Yogyakarta,14.24
Bali,6.54
"Nusa Tenggara Timur",0.58
Bengkulu,0.86
"Sulawesi Tenggara",0.56
"Jawa Barat",7.33
"Jawa Tengah",12.35
Jambi,4.87
"Sumatera Utara",8.52
"Bangka Belitung",5.43
"Jawa Timur",8.4
"Sulawesi Barat",1.1
"Maluku Utara",0.45
