name,value
"Nusa Tenggara Timur",-94.33
"Kalimantan Selatan",-34.3
Banten,-24.81
"Kalimantan Barat",-41.32
Gorontalo,-75.23
Lampung,-36.5
"Maluku Utara",-97.08
"Sulawesi Barat",-84.04
"Sulawesi Tenggara",-91.87
Bengkulu,-63.72
"DKI Jakarta",-28.65
"Kepulauan Riau",-54.43
"Sulawesi Utara",-49.86
Maluku,-96.56
"Kalimantan Timur",-64.02
"Nangro Aceh Darussalam",-71.28
"Sumatera Selatan",-42.93
Papua,-95.87
"Kalimantan Tengah",-65.85
"Jawa Timur",-31.4
"Sumatera Barat",-55.63
Riau,-56.44
Jambi,-61.91
"Jawa Barat",-24.19
"Jawa Tengah",-18.62
"Sumatera Utara",-45.38
"Bangka Belitung",-35.83
Bali,-31.86
Yogyakarta,-19.93
"Sulawesi Selatan",-45.03
"Nusa Tenggara Barat",-43.87
"Papua Barat",-96.67
"Sulawesi Tengah",-86.84
