name,value
"Nusa Tenggara Timur",0.54
"Kalimantan Selatan",5.22
Banten,7.54
"Kalimantan Barat",1.44
Gorontalo,0.39
Lampung,6.49
"Maluku Utara",0.42
"Sulawesi Barat",0.99
"Sulawesi Tenggara",0.53
Bengkulu,0.8
"DKI Jakarta",8.24
"Kepulauan Riau",3.77
"Sulawesi Utara",4.32
Maluku,0.53
"Kalimantan Timur",1.66
"Nangro Aceh Darussalam",1.79
"Sumatera Selatan",8.72
Papua,0.73
"Kalimantan Tengah",0.86
"Jawa Timur",8.16
"Sumatera Barat",5.43
Riau,6.59
Jambi,4.55
"Jawa Barat",7.16
"Jawa Tengah",12.02
"Sumatera Utara",8.23
"Bangka Belitung",5.04
Bali,5.94
Yogyakarta,13.76
"Sulawesi Selatan",10.97
"Nusa Tenggara Barat",2.78
"Papua Barat",0.63
"Sulawesi Tengah",0.55
