name,value
"DKI Jakarta",-28.68
"Kepulauan Riau",-54.91
"Sulawesi Utara",-49.07
Gorontalo,-77.98
"Kalimantan Barat",-41.8
"Jawa Tengah",-19.44
"Jawa Barat",-24.99
"Sumatera Utara",-47.55
Jambi,-63.31
"Bangka Belitung",-38.24
Lampung,-37.16
Bengkulu,-64.06
"Sulawesi Tenggara",-92.13
"Jawa Timur",-32.83
Riau,-57.63
"Sumatera Barat",-56.59
"Nusa Tenggara Barat",-44.87
"Sulawesi Selatan",-48.85
"Sulawesi Tengah",-87.58
"Papua Barat",-97.75
"Sumatera Selatan",-45.05
"Kalimantan Tengah",-65.36
Papua,-97.24
"Maluku Utara",-97.82
"Sulawesi Barat",-84.23
Banten,-25.57
"Kalimantan Selatan",-32.99
"Kalimantan Timur",-64.18
"Nangro Aceh Darussalam",-71.97
Bali,-35
Yogyakarta,-20.72
Maluku,-96.98
"Nusa Tenggara Timur",-95.43
