name,value
"Nusa Tenggara Timur",-2.09
Gorontalo,-1.62
"Kalimantan Barat",-17.54
"Jawa Tengah",-17.95
"Sumatera Utara",0.1
"Jawa Barat",-18.06
Jambi,-0.43
"Bangka Belitung",-9.82
"Sumatera Barat",0.89
Riau,2.23
"Sulawesi Tenggara",-1.61
Bengkulu,-8.41
Banten,-13.14
"Kalimantan Selatan",-11.98
"DKI Jakarta",-16.85
"Sulawesi Utara",-12.46
"Kepulauan Riau",-6.99
Bali,-11.25
Yogyakarta,-7.8
Maluku,-1.76
Lampung,-19.24
"Sumatera Selatan",-0.31
Papua,-1.03
"Kalimantan Tengah",-21.54
"Nangro Aceh Darussalam",0.01
"Kalimantan Timur",-16.38
"Sulawesi Barat",-1.04
"Maluku Utara",-0.89
"Jawa Timur",-23.41
"Nusa Tenggara Barat",0.03
"Sulawesi Selatan",-6.24
"Sulawesi Tengah",-5.65
"Papua Barat",-0.76
