name,value
Gorontalo,0.51
"Kalimantan Barat",2.02
"Sumatera Barat",6.08
Riau,7.21
"Nusa Tenggara Timur",0.84
"Sulawesi Barat",1.47
"Maluku Utara",0.59
"Jawa Timur",9.54
Maluku,0.72
Bali,7.24
Yogyakarta,15.66
Banten,8.77
"Kalimantan Selatan",6.37
"Kepulauan Riau",4.39
"DKI Jakarta",9.76
"Sulawesi Utara",5.47
"Sulawesi Tenggara",0.74
Bengkulu,1
"Sumatera Selatan",9.66
Papua,1.02
"Kalimantan Tengah",1.18
Lampung,8.02
"Nangro Aceh Darussalam",2.15
"Kalimantan Timur",1.9
"Jawa Tengah",14.27
"Jawa Barat",8.18
"Sumatera Utara",8.6
Jambi,5.64
"Bangka Belitung",6.08
"Sulawesi Selatan",13.61
"Papua Barat",0.83
"Nusa Tenggara Barat",2.91
"Sulawesi Tengah",0.74
