name,value
"Kalimantan Barat",-39.37
Gorontalo,-72.05
"Kalimantan Selatan",-32.4
Banten,-23.54
Riau,-54.19
"Sumatera Barat",-52.84
"Sulawesi Barat",-83.81
"Maluku Utara",-96.64
"Kepulauan Riau",-51.96
"Sulawesi Utara",-48.71
"DKI Jakarta",-27.52
Yogyakarta,-18.31
Bali,-30
"Nusa Tenggara Timur",-92.81
Maluku,-96.2
"Sulawesi Tenggara",-89.85
Bengkulu,-61.28
Lampung,-32.61
"Kalimantan Timur",-62.56
"Nangro Aceh Darussalam",-68.36
"Sumatera Selatan",-40.44
Papua,-95.28
"Kalimantan Tengah",-61.75
"Sumatera Utara",-44.14
"Jawa Barat",-23.12
Jambi,-57
"Jawa Tengah",-16.18
"Bangka Belitung",-32.95
"Jawa Timur",-29
"Sulawesi Selatan",-41.23
"Nusa Tenggara Barat",-45.74
"Sulawesi Tengah",-84.48
"Papua Barat",-96.04
