name,value
"Kalimantan Barat",2
Gorontalo,0.5
"Kalimantan Selatan",6
Banten,8.63
Riau,7.19
"Sumatera Barat",6.14
"Sulawesi Barat",1.41
"Maluku Utara",0.6
"Kepulauan Riau",4.42
"Sulawesi Utara",5.27
"DKI Jakarta",9.24
Yogyakarta,15.39
Bali,7
"Nusa Tenggara Timur",0.81
Maluku,0.69
"Sulawesi Tenggara",0.73
Bengkulu,1
Lampung,7.81
"Kalimantan Timur",1.77
"Nangro Aceh Darussalam",2.2
"Sumatera Selatan",9.64
Papua,0.96
"Kalimantan Tengah",1.11
"Sumatera Utara",8.67
"Jawa Barat",8.05
Jambi,5.57
"Jawa Tengah",13.84
"Bangka Belitung",6
"Jawa Timur",9.33
"Sulawesi Selatan",13.2
"Nusa Tenggara Barat",2.9
"Sulawesi Tengah",0.7
"Papua Barat",0.82
