name,value
"Nangro Aceh Darussalam",-13.59
"Kalimantan Timur",-8.3
"Nusa Tenggara Timur",0.16
"Kalimantan Tengah",-8.29
"Sumatera Selatan",-5.39
Papua,0.17
Bali,-1.97
Yogyakarta,-4.57
"Sulawesi Barat",-4.59
"Maluku Utara",-0.08
"DKI Jakarta",-3.98
"Kepulauan Riau",-9.6
"Sulawesi Utara",-23.27
Banten,-9.59
"Kalimantan Selatan",-4.25
Riau,-5.82
"Sumatera Barat",-6.38
"Sulawesi Tenggara",0.08
Bengkulu,-19.31
Lampung,-9.82
"Kalimantan Barat",-26.43
Gorontalo,-18.25
"Jawa Timur",-0.25
Maluku,0.05
"Sumatera Utara",-1.09
"Jawa Tengah",-3.63
"Jawa Barat",-11.53
Jambi,-8.54
"Bangka Belitung",0.83
"Sulawesi Selatan",0.09
"Nusa Tenggara Barat",-0.41
"Sulawesi Tengah",-0.11
"Papua Barat",0.09
