name,value
"Nangro Aceh Darussalam",2.23
"Kalimantan Timur",1.7
"Nusa Tenggara Timur",0.78
"Kalimantan Tengah",1
"Sumatera Selatan",9.61
Papua,0.98
Bali,7.01
Yogyakarta,15.01
"Sulawesi Barat",1.38
"Maluku Utara",0.6
"DKI Jakarta",9.15
"Kepulauan Riau",4.27
"Sulawesi Utara",4.99
Banten,8.52
"Kalimantan Selatan",5.78
Riau,7.27
"Sumatera Barat",6.13
"Sulawesi Tenggara",0.72
Bengkulu,0.98
Lampung,7.69
"Kalimantan Barat",1.83
Gorontalo,0.48
"Jawa Timur",9.25
Maluku,0.64
"Sumatera Utara",8.8
"Jawa Tengah",13.5
"Jawa Barat",7.94
Jambi,5.47
"Bangka Belitung",5.88
"Sulawesi Selatan",12.84
"Nusa Tenggara Barat",3.02
"Sulawesi Tengah",0.69
"Papua Barat",0.82
