index,Scrapbs,Screcrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparinkind,Scsizeinkind,Scparfundraise_a,Scparfundraise_b,Scparfundraise,Scmeettripartite,Scdistrapbs,Spparentsrapbs,Spinviterapbs,Tsatlearn,Pcont_u,Pcont_bar,Pcont_physical,Prap_a,Prap_b,Prap_c,Prapbs,Psatlearnknow,Pknow_scexist,Pknow_scmem,Pmtgrapbs,Pcont,Prap_d
1,,0,ya,besar,,,belum memuaskan,,,,,,ya,8,7,8,7,1,3,,,0,2,1,,0,2,,,0,0,0.333333333,0.333333333,1,2.333333333,0.666666667,1.333333333,0,,0.333333333
2,1,0,tidak,kurang,,,memuaskan,,,,,,ya,8,7,8,7,1,3,,,0,2,1,,0,3,,,0,0,0.333333333,0.666666667,1.333333333,2.666666667,0.666666667,2,0.333333333,,0.333333333
3,,0,tidak,kurang,,,belum memuaskan,,,,,,ya,9,9,9,8,0,,,,0,3,1,,0,3,,,0,0,0,0,0,0,0.333333333,0.333333333,0,,0
4,,1,ya,kurang,,,belum memuaskan,,,,,,ya,8,8,8,8,1,2,,1200000,1200000,4,1,,0,2,,,0,0.333333333,0.666666667,0.333333333,1.333333333,1.333333333,0,0,0.333333333,,0
5,0,0,ya,besar,,,belum memuaskan,,,,,,ya,8,8,8,8,0,,,,0,1,1,,0,2,,5000,1,0.333333333,0.333333333,0.333333333,1.333333333,3,0,0,0.333333333,,0.333333333
6,0,1,tidak,kurang,,,memuaskan,,,,,,ya,7,7,8,7,1,3,,,0,2,1,,0,3,,,0,0,0.666666667,1,1.666666667,2.333333333,0,0,0.666666667,,0
7,0,1,tidak,sangat besar,,,sangat memuaskan,,,,,,tidak,10,10,10,10,1,3,,0,0,3,0,,0,3,18500,,0,0,0.333333333,0.666666667,1.333333333,3,1,2,0,,0.333333333
8,0,0,ya,besar,,,memuaskan,,,,,,ya,8,8,8,7,1,3,,2500000,2500000,2,1,,0,2,,,0,0.333333333,0.333333333,0.666666667,1.333333333,1.666666667,0.666666667,0.666666667,0.333333333,,0
9,,0,ya,besar,,,memuaskan,,,,,,ya,9,8,10,8,0,,,,0,2,1,,0,2,,,0,0.333333333,0.666666667,0.333333333,1.666666667,3,0.666666667,2,0.333333333,,0.333333333
10,1,0,ya,besar,Ya,besar,memuaskan,Belum memuaskan,Ya,Ya,Ya,Ya,ya,5,6,5,4,1,3,,,0,2,1,Tidak,0,2,,,0,0,0,0,0,0,0.333333333,0.333333333,0,,0
11,,0,tidak,kurang,,,memuaskan,,,,,,ya,8,8,8,8,1,3,,,0,2,1,,0,2,,,0,0.333333333,0,0,0.333333333,0,0.333333333,0.333333333,0.666666667,,0
12,1,0,tidak,besar,,,belum memuaskan,,,,,,ya,10,10,9,10,0,,,,0,,0,,0,2,,,0,0.333333333,0.666666667,0.333333333,1.666666667,1.333333333,0,0,0,,0.333333333
