index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
001,0,,,7,0,1,0,0,1,2,0,2,3,2,2,1,3,1,1,0,6,7,6,6,,2,0,500,0,4,,,3,,0,0.5,0,3,4,0,0.5,0,0,0.5,0,0,6.25
002,0,,,12,0,0,0,1,0,1,0,2,3,3,3,1,1,1,1,0,9,8,8,9,,3,1,7000,1,8,,,4,,0,0.666666667,0.333333333,3,2,0,0,0.666666667,0,0.666666667,0,0,8.5
003,1,2,,10,0,0,1,1,0,3,1,2,2,3,3,1,1,1,1,1,8,10,10,8,,3,0,0,0,7,,,3,,0.037037037,0.666666667,0.333333333,2.666666667,1,0.666666667,0.666666667,0.666666667,0,2,0,0,9
004,0,,,8,0,0,0,0,0,3,0,3,3,3,2,1,1,1,1,1,8,9,7,8,,3,1,0,0,6,,,2,,0,0.333333333,0,2.5,2,0.285714286,0.285714286,0.285714286,0,0.857142857,0,0,8
005,1,3,,11,0,0,0,1,1,3,0,3,3,2,2,1,1,1,1,1,7,7,7,7,,1,0,0,0,9,,,2,,0,0.333333333,0,2.5,2,0.666666667,0.666666667,0.666666667,0.333333333,2.333333333,0,0,7
006,1,3,,7,0,0,1,1,1,3,0,3,3,3,3,1,1,1,1,1,9,9,10,8,8,2,1,0,0,5,,,2,,0,0.333333333,1,2.333333333,1,0.666666667,0.666666667,0.666666667,0,2,810000,0,9
007,1,3,,9,0,0,0,0,0,3,0,3,4,3,2,1,1,1,1,1,9,8,7,9,,4,1,15000,1,9,,,,,0.037037037,1,0.333333333,2.833333333,2,0.333333333,0.666666667,0.666666667,0,1.666666667,0,0,8.25
008,0,,,10,1,0,1,1,1,3,1,3,3,3,3,1,1,1,1,1,8,8,8,8,,2,1,0,0,7,,,3,,0,0.333333333,0,3,2,0.666666667,0.333333333,0.333333333,0,1.333333333,0,0,8
009,0,,,7,0,0,0,0,1,2,0,2,2,3,2,1,1,1,1,1,8,8,8,8,,2,1,0,0,3,,,4,,0,0.666666667,0.333333333,3,2,0,0,1,0,1,0,0,8
010,0,,,10,1,0,1,1,1,1,0,1,2,2,2,2,2,2,2,0,6,6,6,6,,1,1,0,0,8,,,2,,0.037037037,1,0.666666667,3,1.666666667,1,1,1,1,4,0,0,6
011,1,3,,9,0,0,0,1,1,3,1,2,2,2,2,1,1,1,1,1,8,8,8,8,3,1,1,55000,1,7,,,2,,0.074074074,0.333333333,0.333333333,2.666666667,2,0.333333333,1,0,0,1.333333333,30000,0,8
012,1,2,,10,0,1,0,0,1,2,1,2,2,2,2,1,1,1,1,1,9,9,9,8,,2,1,0,0,8,,2,,,0,1,0,2.333333333,1.333333333,1,0.333333333,0,0,1.333333333,0,0,8.75
013,0,,,12,0,1,0,1,0,2,1,2,3,3,3,1,1,1,1,1,8,8,9,8,,2,1,0,0,9,,,3,,0.111111111,1,0.666666667,3,1.666666667,0.666666667,0.666666667,1,0.666666667,3,0,0,8.25
014,0,,,11,0,0,0,0,1,3,0,3,3,3,2,1,1,1,1,1,10,9,10,9,,3,0,0,0,8,1,,2,,0.111111111,1,0.666666667,2.333333333,2.333333333,0.666666667,1,0.666666667,0.666666667,3,0,0,9.5
015,1,2,,8,0,1,0,0,0,3,0,2,2,3,2,1,1,1,1,1,10,10,10,8,,,1,0,0,5,2,,1,,0.148148148,0.666666667,0.333333333,2.166666667,2,0,1,0.666666667,0,1.666666667,0,0,9.5
016,0,,,8,0,0,0,1,0,2,1,2,2,2,2,1,1,1,1,0,6,6,7,5,,1,0,0,0,5,,,3,,0.111111111,0.333333333,0,2.833333333,4,0.333333333,0.333333333,0.333333333,0,1,0,,6
017,0,,,10,0,0,1,1,0,2,0,2,2,3,2,1,1,1,1,1,10,10,10,9,,3,0,10000,0,9,,1,,,0.259259259,1,1,3.333333333,2.333333333,1,1,1,0.666666667,3.666666667,0,,9.75
018,0,,2,20,0,0,0,0,0,,0,,4,3,3,1,1,1,1,1,10,10,10,10,,3,1,5000,1,14,,2,4,,0.185185185,1,0,3,1.666666667,0.333333333,0.666666667,0.666666667,0,1.666666667,25000,0,10
