Column1.1.1, dataset_source
Pcont,  sumbanguend
Pcont_physical, sumbangbarend
Scparinkind , AH13a1
Scsizeinkind , AH13c1
Scparfundraise , AH11b1
Tjumlah, fg0row
Tstatus, fg14
PNSteach, fg14 =1
GTTteach_govt1 , fg14=2
GTTteach_govt2, fg14=3
GTTteach_school , fg14=4
SCrapbs , AF33c
SCrecrapbs , AC17a
SCdistrapbs , AH37a4
SPinviterapbs , BD13
SPparentsrapbs , BF39a4 
Pmtgrapbs , CH13c
Prapbs_number , ci2no
Prapbs,  ci21
SCbpd , AK5
SCsatbpd , AK8
SPbpd , BG5
SPsatbpd , BG8
SCsatlearn, ae1b
Psatlearnknow, cg1b 
Tsatlearn, ec1b 
SPsatlearn, bc21b
Pknow_scexist , CJ1
Pknow_scmem , CJ3a
Pscanswer , CJ4
SPsceffective_a, bf215a
SPsceffective_b, bf215b
SPsceffective_c, bf215c
SPsceffective_d, bf215d
SCposcontr, ah15
Tscperception_a, eh21a
Tscperception_b, eh21b
Tscperception_c, eh21c
Tscperception_d, eh21d
SCparinkind, AH13a1
SCsizeinkind , AH13c1
SCparfundraise , AH11b1
SCmeettripartite , af11b
Scrapbs, aF33c
SCrecrapbs, aC17a
SCdistrapbs, aH37a4
Spparentsrapbs, bF39a4
SPinviterapbs, bD13
Pmtgrapbs, CH13c
Prapbs ,CI21d
SCbpd , aK5
SCsatbpd ,aK8
SPbpd ,bG5
SPsatbpd ,bG8



















