index,level_0,Scparfundraise,Scparinkind,Scsizeinkind,Pcont,Pcont_physical,Scrapbs,Screcrapbs,Scdistrapbs,Spinviterapbs,Spparentsrapbs,Pmtgrapbs,Prapbs,data_x,parent_input,School_management,bhs_score_,data_y,math_score_,nilai_bhs_indonesia,nilai_matematika,num_student,C1,grade4_student,grade4_do,grade456_student,grade456_do,data_x,dropoutrate_4,dropoutrate,index_id3,Anak_kerja,Jarak_sekolah,Biaya_kesokla,Waktu_tempuhsekolah,Incomertperbulan,Jumlah_anggotart,incomepercap_bulan,Perankomite_baseps_score,School_cont_p_score,School_cont_sp_score,School_cont_sc_score,School_cont_tc_score,School_condi_score,year_schooling_parent_wali,Usia_ortu,data_y,biayasekolah,nss,kabupaten,kecamatan,nama_sekolah,felect,pelect,atrain,alink,agrant,treat
100_baseline,0,0.0,0,2,0.0,0,0,0,1,1,0,0.0,0.666666667,baseline,0.1,0.30952381,30.804597700000002,baseline,47.01149425,268,409,29,101033000000.0,29,0,82,0,baseline,0.0,0.0,100,0.0,533.3333333,,15.0,433333.3333,4.333333333,100000.0,3,2.166666667,2.333333333,2.0,2.333333333,2.208333333,6,37.16666667,baseline,0.0,101000000000.0,BREBES,LOSARI,KARANGJUNTI  02,1.0,0.0,0.0,0.0,1.0,"Grant, Election"
100_endline,1,5000000.0,0,2,0.0,0,0,0,1,1,1,0.0,0.571428571,endline,0.10005,0.44897959200000004,38.57142857,endline,29.64285714,324,249,28,101033000000.0,31,0,85,0,endline,0.0,0.0,100,0.0,116.66666670000001,,9.0,416666.6667,6.333333333,65789.47369,3,1.8333333330000001,2.0,2.833333333,3.0,2.416666667,5.75,41.42857143,endline,0.0,101000000000.0,BREBES,LOSARI,KARANGJUNTI  02,1.0,0.0,0.0,0.0,1.0,"Grant, Election"
101_baseline,2,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,baseline,0.1,0.0,19.04761905,baseline,25.71428571,80,108,14,101033000000.0,22,12,62,21,baseline,0.545454545,0.33870967700000004,101,0.0,766.6666667000001,,16.66666667,298000.0,4.666666667,63857.14286,2.777777778,1.8333333330000001,2.333333333,2.666666667,2.333333333,2.291666667,3,36.5,baseline,0.0,101000000000.0,BREBES,LOSARI,KARANGSAMBUNG 2,0.0,0.0,1.0,0.0,1.0,"Grant, Training"
101_endline,3,0.0,0,2,0.0,0,0,1,0,0,0,0.0,0.0,endline,0.1,0.14285714300000002,28.0,endline,26.33333333,84,79,10,101033000000.0,32,0,64,0,endline,0.0,0.0,101,0.333333333,1000.0,,11.66666667,954666.6667,4.333333333,220307.6923,2.222222222,1.388888889,2.0,3.0,1.8333333330000001,2.055555556,4.571428571,42.5,endline,0.0,101000000000.0,BREBES,LOSARI,KARANGSAMBUNG 2,0.0,0.0,1.0,0.0,1.0,"Grant, Training"
102_baseline,4,0.0,0,2,0.0,0,0,0,1,1,0,0.0,0.0,baseline,0.1,0.28571428600000004,31.73333333,baseline,39.73333333,238,298,25,101033000000.0,28,0,84,2,baseline,0.0,0.023809524,102,0.0,100.0,,7.333333333,82777.77767000001,5.666666667,14607.84312,2.777777778,3.0,2.333333333,2.833333333,2.666666667,2.708333333,6,38.5,baseline,0.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
102_endline,5,0.0,0,2,0.0,0,0,1,1,1,1,0.0,0.0,endline,0.1,0.571428571,39.04761905,endline,43.80952381,328,368,28,101033000000.0,25,0,74,0,endline,0.0,0.0,102,0.0,116.66666670000001,,6.666666667,884444.3333,5.666666667,156078.4117,3,2.722222222,0.0,3.0,3.0,2.180555556,5.125,45.66666667,endline,0.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
103_baseline,6,0.0,0,2,0.0,0,0,0,0,0,1,0.0,1.0,baseline,0.1,0.17857142899999998,26.875,baseline,34.375,129,165,16,101033000000.0,19,0,47,0,baseline,0.0,0.0,103,0.0,9.0,,5.0,300000.0,7.0,42857.14286,#DIV/0!,2.166666667,2.0,2.666666667,2.833333333,2.416666667,6,28.5,baseline,16666.66667,101000000000.0,BREBES,LOSARI,SD KEDUNGNENG 02,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
103_endline,7,2400000.0,1,2,25000.0,0,1,0,0,1,1,0.0,0.0,endline,0.30052399999999996,0.428571429,50.20833333,endline,25.41666667,241,122,16,101033000000.0,20,0,67,0,endline,0.0,0.0,103,0.0,750.0,,2.666666667,639000.0,5.333333333,119812.5,3,1.166666667,2.0,2.5,3.0,2.166666667,4.666666667,52.2,endline,0.0,101000000000.0,BREBES,LOSARI,SD KEDUNGNENG 02,0.0,0.0,0.0,1.0,1.0,"Grant, BPD Link"
104_baseline,8,0.0,0,2,0.0,0,0,0,0,1,0,0.333333333,2.0,baseline,0.1,0.261904762,18.57142857,baseline,32.22222222,117,203,21,101033000000.0,26,0,63,0,baseline,0.0,0.0,104,0.0,13.33333333,,3.0,1150000.0,8.333333332999999,138000.0,2.444444444,1.388888889,2.5,1.6666666669999999,2.333333333,1.9722222219999999,7.833333333,36.27777778,baseline,0.0,101000000000.0,BREBES,LOSARI,SD LIMBANGAN 02,0.0,1.0,0.0,0.0,1.0,"Grant, Election"
104_endline,9,0.0,0,2,0.0,0,0,0,0,1,0,0.333333333,3.25,endline,0.1,0.306547619,34.0,endline,24.5,204,147,20,101033000000.0,31,0,82,0,endline,0.0,0.0,104,0.666666667,43.33333333,,35.0,1027755.0,8.666666667000001,118587.1154,2.222222222,2.722222222,2.0,2.833333333,2.666666667,2.555555556,6.4,38.0,endline,6000.0,101000000000.0,BREBES,LOSARI,SD LIMBANGAN 02,0.0,1.0,0.0,0.0,1.0,"Grant, Election"
