,Variable/index, dataset_source,Labels
0,Pcont,  sumbanguend,Amount  of voluntary financial and in-kind donations from parents to school committee in past year (Rupiah /thousands)
1,Pcont_physical, sumbangbarend,Whether parents contributed in-kind to school committee in past year
2,Scparinkind, AH13a1,
3,Scsizeinkind, AH13c1,
4,Scparfundraise, AH11b1,
5,Tjumlah, fg0row,
6,Tstatus, fg14,
7,PNSteach, fg14 =1,Number of civil servant teachers
8,GTTteach_govt1, fg14=2,Number of contract teachers hired by central government
9,GTTteach_govt2, fg14=3,Number of contract teachers hired by local government
10,GTTteach_school, fg14=4,Number of contract teachers hired by school directly
11,SCrapbs, AF33c,Involvement  of school committee in developing school budget (according to school committee)
12,SCrecrapbs, AC17a,Whether school committee received the school budget in school year 2007/08
13,SCrecrapbs, aC17a,Whether school committee received the school budget in school year 2007/08
14,SCdistrapbs, AH37a4,Whether  materials about school funding and budgeting were distributed to parents in school year 2007/08
15,SCdistrapbs, aH37a4,Whether  materials about school funding and budgeting were distributed to parents in school year 2007/08
16,SPinviterapbs, BD13,"Involvement  of school committee and community in developing school budget, according to principal"
17,SPinviterapbs, bD13,"Involvement  of school committee and community in developing school budget, according to principal"
18,SPparentsrapbs, BF39a4 ,Whether parents were told about school funding and budgeting in the school year 2007/08
19,Pmtgrapbs, CH13c,Whether there was a meeting at the school about the budget
20,Pmtgrapbs, CH13c,Whether there was a meeting at the school about the budget
21,Prapbs_number, ci2no,
22,Prapbs,  ci21,
23,Prapbs,CI21d,
24,SCbpd, AK5,Whether the school
25,SCbpd, aK5,Whether the school
26,SCsatbpd, AK8,School  committee representativesâ€™ satisfaction with village councilâ€™s attention to education in the village
27,SCsatbpd,aK8,School  committee representativesâ€™ satisfaction with village councilâ€™s attention to education in the village
28,SPbpd, BG5,Whether the school
29,SPbpd,bG5,Whether the school
30,SPsatbpd, BG8,Principalsâ€™ assessment of extent of village councilâ€™s
31,SPsatbpd,bG8,Principalsâ€™ assessment of extent of village councilâ€™s
32,SCsatlearn, ae1b,
33,Psatlearnknow, cg1b ,Whether  parents were able to answer a question about their satisfaction with student test scores in 2007/08
34,Tsatlearn, ec1b ,Teachersâ€™ satisfaction with student test scores in
35,SPsatlearn, bc21b,Principalsâ€™ satisfaction with student test scores in 2007/08
36,Pknow_scexist, CJ1,Parents know there is a school committee
37,Pknow_scmem, CJ3a,Parents know names of school committee members
38,Pscanswer, CJ4,Parents  are able to answer series of questions about school committee activities and performance
39,SPsceffective_a, bf215a,"School committeesâ€™ cooperation, support, outreach and involvement in the school and community, according to principals (inviting comunity)"
40,SPsceffective_b, bf215b,"School committeesâ€™ cooperation, support, outreach and involvement in the school and community, according to principals (submitting suggestions)"
41,SPsceffective_c, bf215c,"School committeesâ€™ cooperation, support, outreach and involvement in the school and community, according to principals (hearing)"
42,SPsceffective_d, bf215d,"School committeesâ€™ cooperation, support, outreach and involvement in the school and community, according to principals (coorporated)"
43,SCposcontr, ah15,Whether  school committee helped meet schoolâ€™s needs during the first semester of school year 2007/08
44,Tscperception_a, eh21a,Teachersâ€™ evaluation of school committee effectiveness (democracy)
45,Tscperception_b, eh21b,Teachersâ€™ evaluation of school committee effectiveness (openess)
46,Tscperception_c, eh21c,Teachersâ€™ evaluation of school committee effectiveness (cooperated)
47,Tscperception_c, eh21c,Teachersâ€™ evaluation of school committee effectiveness (welfare)
48,Tscperception_d, eh21d,
49,SCparinkind, AH13a1,Whether parents provided in-kind donations in the first semester of school year 2007/08
50,SCsizeinkind, AH13c1,School  committeesâ€™ subjective assessment of in kind contributions of parents to school committee in past semester
51,SCparfundraise, AH11b1,Parental contributions in the first semester of school year 2007/08 (Rupiah in millions)
52,SCmeettripartite, af11b,"Number of formal meetings with school committee, principal, parents"
53,Scrapbs, aF33c,
54,Spparentsrapbs, bF39a4,
55,Scsatlearn,,School committee representativesâ€™ satisfaction with student test scores in 2007/08
56,SPsceffective,,"School committeesâ€™ cooperation, support, outreach and involvement in the school and community, according to principals"
57,Tscperception,,Teachersâ€™ evaluation of school committee effectiveness (average score)
58,SCmeetprincipaltot,,"Number of informal and formal meetings with school committee, principal to discuss school issues/problems"
