level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
0	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	118847.96	325604.98	444452.94	426438.2	175104.37
1	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	124626.91	341437.45	466064.36	447173.65	153492.96
5	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	118847.96	325604.98	444452.94	426438.2	175104.37
6	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	124626.91	341437.45	466064.36	447173.65	153492.96
10	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	118847.96	325604.98	444452.94	426438.2	175104.37
11	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	124626.91	341437.45	466064.36	447173.65	153492.96
15	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	118847.96	325604.98	444452.94	426438.2	175104.37
16	0012200	6	3	1				1	3	3	3	2	22	1	1	001220006	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	6	13	9	1	1	3	3	4	180	13			6			3	2	2	0	3	124626.91	341437.45	466064.36	447173.65	153492.96
20	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	118847.96	325604.98	444452.94	426438.2	175104.37
21	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	124626.91	341437.45	466064.36	447173.65	153492.96
25	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	118847.96	325604.98	444452.94	426438.2	175104.37
26	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	124626.91	341437.45	466064.36	447173.65	153492.96
30	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	118847.96	325604.98	444452.94	426438.2	175104.37
31	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	124626.91	341437.45	466064.36	447173.65	153492.96
35	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	118847.96	325604.98	444452.94	426438.2	175104.37
36	0012200	7	3	1				1	3	1	3		20	1	3	001220007	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	7	2	7	3	3		4	1	30	2					2003	3	2	2	0	2	124626.91	341437.45	466064.36	447173.65	153492.96
40	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	118847.96	325604.98	444452.94	426438.2	175104.37
41	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	124626.91	341437.45	466064.36	447173.65	153492.96
45	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	118847.96	325604.98	444452.94	426438.2	175104.37
46	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS BARAT	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	124626.91	341437.45	466064.36	447173.65	153492.96
50	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	118847.96	325604.98	444452.94	426438.2	175104.37
51	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	GUNUNGSITOLI	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	124626.91	341437.45	466064.36	447173.65	153492.96
55	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	118847.96	325604.98	444452.94	426438.2	175104.37
56	0012200	9	3	3	1			1	1	1	3		15	1	1	001220009	8	209629.86	409927.45	619557.31	1201	NIAS UTARA	504394.34	2	11	3	0012200	9	3	7	1	1	3	6	2	30	3			6			3	2	2	7	4	124626.91	341437.45	466064.36	447173.65	153492.96
60	0020300	3	3										21	1	3		3	127424.43	141198.71	268623.14	1214	NIAS SELATAN	253812.11	2	96	3	0020300	3																				15170.439	124147.81	139318.25	139318.25	129304.9
61	0020300	3	3										21	1	3		3	127424.43	141198.71	268623.14	1214	NIAS SELATAN	253812.11	2	96	3	0020300	3																				15908.098	130184.46	146092.56	146092.56	122530.58
65	0020442	3	3	3	3	3	3	3	1	1	3		17	1	3	002040004	3	384417.36	398290.38	782707.74	1214	NIAS SELATAN	782707.8	1	96	13	0020400	4	5	7	1	1	3	16	3	15	5			6			3	2	2	0	3	6816.6613	26095.685	32912.347	32912.345	749795.39
66	0020442	3	3	3	3	3	3	3	1	1	3		17	1	3	002040004	3	384417.36	398290.38	782707.74	1214	NIAS SELATAN	782707.8	1	96	13	0020400	4	5	7	1	1	3	16	3	15	5			6			3	2	2	0	3	7148.1197	27364.581	34512.702	34512.7	748195.04
70	0021100	5	3	3	3	3	3	3	1	3	3		17	1	1	002110005	2	613389.21	1058990.3	1672379.5	1214	NIAS SELATAN	1362193.7	2	96	3	0021100	5	3	6	1	1	3	19	2	30	3			6			3	2	3	7	4	36358.314	57338.019	93696.337	93696.337	1578683.2
71	0021100	5	3	3	3	3	3	3	1	3	3		17	1	1	002110005	2	613389.21	1058990.3	1672379.5	1214	NIAS SELATAN	1362193.7	2	96	3	0021100	5	3	6	1	1	3	19	2	30	3			6			3	2	3	7	4	38126.228	60126.066	98252.298	98252.298	1574127.2
75	0021800	6	3	1				1	3	1	3		19	2	1	002180006	8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	3	0021800	6	2	8	3	3		23	1	5	2			3	E		4	1	2	0	3	7913.7389	32664.911	40578.651	40578.651	571818.72
76	0021800	6	3	1				1	3	1	3		19	2	1	002180006	8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	3	0021800	6	2	8	3	3		23	1	5	2			3	E		4	1	2	0	3	8298.5425	34253.234	42551.778	42551.778	569845.59
80	0021800	8	3	3	1			3	3	3	3		15	1	3	002180008	8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	3	0021800	8	3	7	1	1	3	25	2	60	3			6			3	1	3	2	3	7913.7389	32664.911	40578.651	40578.651	571818.72
81	0021800	8	3	3	1			3	3	3	3		15	1	3	002180008	8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	3	0021800	8	3	7	1	1	3	25	2	60	3			6			3	1	3	2	3	8298.5425	34253.234	42551.778	42551.778	569845.59
85	0021800	12	3										18	2	3		8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	5	0021800																					7913.7389	32664.911	40578.651	40578.651	571818.72
86	0021800	12	3										18	2	3		8	295387.94	317009.43	612397.37	1214	NIAS SELATAN	612397.37	2	96	5	0021800																					8298.5425	34253.234	42551.778	42551.778	569845.59
91	0021841	2	3	4	3	3	3	3	3	1	3		17	2	3	002180007	3	767494.69	1206607.1	1974101.8	1214	NIAS SELATAN	1974101.8	2	96	5	0021800	7	2	7	3	3		26	1	10	2						2	1	3	2	2	7913.7389	32664.911	40578.651	40578.651	1933523.1
