level_0	hhid14	pid14	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_14	hhid07	pid07	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw00	sw01	sw03b	kk01	kk02a	kk02c	nonfood07	food07	total07	pce07	change
1	0012241	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	001220013	6	260120.24	411257.84	671378.08	1201	NIAS	671378.11	2:Rural	96:SAME	3:Childr	0012241	3	3:Junior	7.0	1:Yes	1:Yes	1:Yes	8	2	30	3			6:Still			2:Very s	3.0	1:Less a	3:Somewh	2.0	1:Much b	201823.75	443947.45	645771.2	579211.01	25606.878
9	0012900	8	3:New	3:Attend	1:Yes			3:No	1:Yes	1:Yes	3:No		16.0	1:Not ye	1:Male	001290008	2	474948.84	497518.71	972467.56	1201	NIAS	972467.62	2:Rural	14:Move	3:Childr	0012900	8	3:Junior	7.0	1:Yes	3:No		31	2	120	3			6:Still			3:Somewh	2.0	2:Adequa	3:Somewh	0.0	1:Much b	57241.747	345288.82	402530.57	402530.58	569936.99
13	0020100	11	3:New	3:Attend	3:No	3:No	1:Yes	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	002010011	7	253513.48	481516.06	735029.54	1214	NIAS SELATAN	714285.73	2:Rural	11:Move	13:Nephe	0020100		5:Senior	7.0	1:Yes	1:Yes	1:Yes	42	3	20	5			6:Still			3:Somewh	3.0	2:Adequa	3:Somewh	3.0	3:About	590000.08	590925.69	1180925.8	1085888.3	-445896.23
14	0020400	7	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	002040007	8	118504.09	121156.91	239661	1214	NIAS SELATAN	239660.98	2:Rural	96:SAME	3:Childr	0020400	7	5:Senior	6.0	1:Yes	1:Yes	1:Yes	54	3	15	5			6:Still			3:Somewh	2.0	3:More t	1:Very h	1.0	2:Somewh	64337.402	250856.93	315194.33	307939.93	-75533.323
15	0020600	7	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	002060007	6	94593.841	398713.61	493307.45	1214	NIAS SELATAN	493307.42	2:Rural	14:Move	3:Childr	0020600	7	3:Junior	6.0	1:Yes	1:Yes	3:No	60	2	15	3			6:Still			3:Somewh	3.0	1:Less a	4:Very u	0.0	2:Somewh	96161.821	363082.39	459244.21	421158.67	34063.239
16	0021142	9	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		18.0	1:Not ye	1:Male	002110009	6	91906.118	247759.07	339665.19	1214	NIAS SELATAN	339665.2	2:Rural	96:SAME	10:Grand	0021143	3	61:Unive	6.0	1:Yes	8:Don't														2:Somewh		4:Somewh	440480.73	423596.1	864076.83	801024.1	-524411.64
17	0021143	4	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	002114304	5	611320.52	214179.99	825500.51	1214	NIAS SELATAN		2:Rural	96:SAME	3:Childr	0021143	4	6:Senior	7.0	1:Yes	1:Yes	1:Yes	63	3	15	6			6:Still			3:Somewh	1:Poores	2:Adequa	3:Somewh	0.0	3:About	440480.73	423596.1	864076.83	801024.1	-38576.318
18	0021800	10	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		19.0	1:Not ye	3:Female	002180010	7	172971.59	297673.9	470645.49	1214	NIAS SELATAN	470645.47	2:Rural	11:Move	3:Childr	0021800	10	5:Senior	6.0	3:No	1:Yes	1:Yes	66	3	30	5	5.0				2014.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	1:Much b	295387.94	317009.43	612397.37	612397.37	-141751.88
19	0021841	2	1:Panel	4:Housek	1:Yes			3:No	3:No	1:Yes	3:No		24.0	2:Marrie	3:Female	002180007	5	134288.35	246125.49	380413.84	1214	NIAS SELATAN	371757.27	2:Rural	11:Move	5:Sons/d	0021841	2	2:Elemen	7.0	3:No												3:Somewh	3.0	2:Adequa	2:Somewh	14.0	1:Much b	767494.69	1206607	1974101.7	1974101.8	-1593687.9
20	0021900	4	1:Panel	4:Housek	1:Yes			1:Yes	3:No	1:Yes	3:No		21.0	1:Not ye	3:Female	002190004	12	16905.885	44167.063	61072.948	1214	NIAS SELATAN	60723.898	2:Rural	96:SAME	3:Childr	0021900	4															4:Not ve	2.0	1:Less a	3:Somewh	0.0	2:Somewh	28419.087	93599.811	122018.9	122018.9	-60945.95
